                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.70019,                  1.181,                0.53777,                0.90283,                0.29362,                0.32761,                0.24786,                0.16264,                0.28661,                0.31998,                0.23852,                0.15034,                 1.4625,                 3.2383,                 2.6225,                 1.3581,             0.00061887,             0.00061887,             0.00061887
                    104,                0.67838,                  1.158,                0.51782,                0.88428,                0.36836,                0.28397,                0.25392,                0.17791,                0.38551,                0.28552,                 0.2581,                0.16464,                 1.4543,                 3.2926,                 2.5281,                 1.3411,             0.00061269,             0.00061269,             0.00061269
                    105,                0.67067,                 1.1394,                 0.5109,                 0.8886,                0.43221,                0.28887,                 0.2567,                0.17156,                 0.4236,                0.28166,                0.24814,                0.15762,                  1.433,                 3.3335,                 2.5278,                 1.3199,              0.0006065,              0.0006065,              0.0006065
                    106,                0.70331,                 1.1604,                0.53805,                0.89688,                0.38969,                0.30545,                0.27362,                0.18453,                0.38191,                0.29918,                 0.2616,                0.16491,                 1.4432,                 3.2782,                 2.4332,                 1.3407,             0.00060031,             0.00060031,             0.00060031
                    107,                 0.7017,                 1.1883,                0.53494,                0.89846,                0.40731,                 0.3126,                0.28037,                0.18563,                0.38873,                0.30301,                0.27144,                0.16618,                 1.4227,                  3.229,                 2.4367,                 1.3305,             0.00059413,             0.00059413,             0.00059413
                    108,                0.67165,                 1.1475,                0.50973,                0.89609,                0.32726,                0.37252,                0.27591,                0.18422,                0.31133,                 0.3618,                0.26373,                0.16534,                 1.4658,                  3.199,                  2.474,                  1.369,             0.00058794,             0.00058794,             0.00058794
                    109,                 0.6862,                 1.1744,                0.51891,                 0.8997,                0.42352,                0.31794,                0.27913,                0.18027,                0.41522,                0.31584,                0.27561,                0.16965,                 1.4674,                 3.1057,                 2.4521,                 1.3571,             0.00058175,             0.00058175,             0.00058175
                    110,                0.68889,                 1.1527,                0.52451,                0.90233,                0.37006,                0.30367,                 0.2603,                0.16686,                 0.3581,                0.29509,                0.25047,                0.15485,                 1.4474,                 3.3189,                 2.5815,                 1.3824,             0.00057556,             0.00057556,             0.00057556
                    111,                0.67701,                 1.1513,                0.51725,                0.89718,                0.41955,                0.27209,                0.24328,                0.15618,                0.31418,                0.31924,                0.23751,                0.14641,                 1.4614,                 3.1657,                 2.6303,                 1.3652,             0.00056938,             0.00056938,             0.00056938
                    112,                0.69821,                 1.1797,                0.53942,                0.89648,                0.42097,                0.27182,                0.27028,                0.17264,                0.41523,                0.26828,                0.26428,                0.15747,                 1.4572,                 3.2614,                 2.4806,                 1.3384,             0.00056319,             0.00056319,             0.00056319
                    113,                0.70004,                 1.1651,                0.53128,                0.90421,                0.35468,                0.32841,                0.28731,                 0.1872,                0.44026,                  0.288,                0.27786,                0.16687,                 1.4497,                 3.2616,                 2.5265,                 1.3377,               0.000557,               0.000557,               0.000557
                    114,                0.68534,                 1.1877,                0.52516,                0.89619,                0.37608,                 0.3198,                0.28502,                0.17927,                0.36939,                0.31395,                0.27466,                0.16547,                 1.4508,                 3.0864,                 2.4839,                  1.342,             0.00055081,             0.00055081,             0.00055081
                    115,                0.70221,                 1.1966,                0.52988,                0.89778,                0.39948,                0.33831,                0.29666,                0.19533,                 0.3972,                0.33383,                0.29345,                0.18009,                 1.4405,                 3.1888,                  2.556,                 1.3481,             0.00054463,             0.00054463,             0.00054463
                    116,                0.65342,                  1.136,                0.49998,                0.88217,                0.43807,                0.29378,                0.26718,                0.17432,                 0.4248,                0.28656,                0.25813,                0.16093,                 1.4932,                 3.3261,                 2.5743,                 1.3959,             0.00053844,             0.00053844,             0.00053844
                    117,                0.66477,                 1.0979,                0.49945,                 0.8902,                0.36669,                0.35546,                0.29762,                0.19561,                0.36125,                0.34931,                 0.2888,                 0.1864,                 1.4603,                 3.2385,                 2.4938,                 1.3675,             0.00053225,             0.00053225,             0.00053225
                    118,                0.66326,                 1.1421,                0.48853,                0.89199,                0.43668,                0.28874,                0.28694,                0.19318,                0.43162,                0.28549,                0.28039,                0.18157,                 1.4423,                 3.2863,                 2.4713,                 1.3467,             0.00052606,             0.00052606,             0.00052606
                    119,                0.68472,                 1.1539,                0.50856,                0.90128,                0.34398,                0.33906,                0.27201,                0.18283,                0.33913,                 0.3343,                0.26631,                0.17161,                 1.4562,                  3.207,                 2.4933,                 1.3554,             0.00051988,             0.00051988,             0.00051988
                    120,                0.67726,                 1.1167,                0.51423,                0.89122,                0.38393,                0.31925,                0.26913,                0.17523,                0.37823,                0.31314,                0.26224,                0.16526,                 1.4461,                 3.1823,                 2.4486,                 1.3495,             0.00051369,             0.00051369,             0.00051369
                    121,                0.66165,                 1.1282,                0.49404,                0.88966,                 0.4116,                0.30334,                0.26717,                0.17567,                 0.4031,                0.29885,                 0.2638,                0.16482,                  1.455,                 3.2135,                 2.5369,                 1.3594,              0.0005075,              0.0005075,              0.0005075
                    122,                0.68876,                 1.1561,                0.53759,                0.89954,                0.37225,                0.32839,                0.28289,                0.18369,                0.36646,                0.32254,                0.27537,                0.17206,                 1.4297,                 3.1929,                 2.4503,                  1.338,             0.00050131,             0.00050131,             0.00050131
                    123,                 0.6557,                 1.1174,                0.49621,                0.88162,                0.35457,                0.33921,                0.28718,                0.18934,                0.34725,                0.33336,                0.27687,                0.17748,                 1.3961,                 3.1378,                 2.4845,                 1.3298,             0.00049513,             0.00049513,             0.00049513
                    124,                0.67241,                 1.1324,                  0.511,                0.89265,                0.37149,                0.31933,                0.27327,                0.17691,                0.36202,                0.31348,                  0.263,                0.16252,                 1.4114,                 3.1781,                 2.5566,                 1.3299,             0.00048894,             0.00048894,             0.00048894
                    125,                0.64884,                 1.0877,                0.48673,                0.88984,                0.45905,                0.28143,                0.27097,                0.18336,                0.44845,                0.27588,                0.26722,                  0.168,                 1.4496,                 3.2928,                 2.6052,                 1.3641,             0.00048275,             0.00048275,             0.00048275
                    126,                0.65806,                 1.0984,                 0.5011,                0.89062,                0.35709,                0.32894,                0.26916,                0.18091,                0.35164,                0.31265,                0.26155,                0.16796,                 1.4521,                 3.2776,                 2.5984,                 1.3662,             0.00047656,             0.00047656,             0.00047656
                    127,                0.65892,                 1.0945,                0.48768,                0.89413,                0.35875,                0.31455,                0.26399,                0.17492,                0.35071,                0.31238,                0.25883,                0.16091,                 1.4484,                 3.2597,                 2.5579,                 1.3617,             0.00047038,             0.00047038,             0.00047038
                    128,                 0.6759,                  1.125,                 0.5088,                0.89096,                0.38247,                0.28279,                0.25148,                0.16501,                 0.3747,                0.27666,                0.24724,                0.15639,                 1.4719,                 3.2265,                 2.5328,                 1.3509,             0.00046419,             0.00046419,             0.00046419
                    129,                0.66109,                 1.1333,                0.48372,                0.88595,                0.34395,                0.33797,                 0.2524,                 0.1669,                0.34089,                 0.3358,                0.25316,                0.15873,                 1.4569,                 3.2113,                 2.6481,                 1.3313,               0.000458,               0.000458,               0.000458
                    130,                0.66642,                 1.1147,                0.49846,                0.88186,                0.40178,                0.25752,                0.26385,                0.17325,                0.39148,                0.25187,                0.25339,                0.15701,                 1.4507,                 3.2732,                  2.615,                  1.334,             0.00045181,             0.00045181,             0.00045181
                    131,                0.64776,                 1.0965,                0.48488,                0.88538,                0.44325,                0.29744,                0.26374,                0.17273,                 0.4218,                0.28833,                0.25263,                0.16031,                  1.437,                 3.1994,                 2.5358,                 1.3297,             0.00044563,             0.00044563,             0.00044563
                    132,                0.66061,                 1.1158,                0.49277,                0.89274,                0.40582,                0.33059,                0.28319,                0.18587,                0.38413,                0.31732,                 0.2707,                0.16765,                 1.4353,                 3.1707,                 2.5272,                 1.3371,             0.00043944,             0.00043944,             0.00043944
                    133,                0.64979,                 1.1119,                0.48929,                0.88641,                0.35161,                0.35312,                0.27711,                0.18368,                 0.3524,                0.33461,                0.26885,                0.16989,                 1.4585,                 3.2295,                  2.579,                  1.341,             0.00043325,             0.00043325,             0.00043325
                    134,                0.66094,                 1.0989,                0.49764,                0.89213,                0.36787,                0.31913,                0.25308,                0.16822,                0.36162,                0.31464,                0.25157,                0.15478,                 1.4275,                 3.2883,                 2.5694,                 1.3334,             0.00042706,             0.00042706,             0.00042706
                    135,                 0.6376,                 1.0757,                0.48987,                0.88341,                0.38968,                0.31081,                0.27161,                0.17548,                0.38277,                0.30496,                0.26516,                0.16378,                 1.4644,                 3.3116,                 2.5371,                 1.3553,             0.00042087,             0.00042087,             0.00042087
                    136,                0.67058,                 1.1239,                0.48158,                0.88961,                0.42091,                0.29571,                0.26744,                0.17674,                 0.4147,                0.29218,                0.26041,                 0.1645,                 1.4897,                  3.374,                 2.5668,                 1.3872,             0.00041469,             0.00041469,             0.00041469
                    137,                0.65466,                 1.1272,                0.49305,                0.87693,                0.38536,                0.30442,                0.27158,                0.18277,                0.38324,                0.30362,                0.26896,                0.16999,                 1.4621,                 3.3053,                 2.4949,                 1.3585,              0.0004085,              0.0004085,              0.0004085
                    138,                0.64815,                  1.107,                0.48253,                0.89586,                0.39183,                0.31789,                0.27723,                0.18427,                0.38884,                0.31599,                0.27591,                0.17267,                 1.4282,                 3.2507,                 2.4678,                 1.3426,             0.00040231,             0.00040231,             0.00040231
                    139,                0.65267,                 1.1043,                0.47013,                0.88895,                0.43449,                0.29297,                0.27234,                0.17881,                0.42806,                0.28943,                0.26634,                0.16504,                 1.4853,                 3.2682,                 2.4897,                  1.376,             0.00039613,             0.00039613,             0.00039613
                    140,                0.63915,                 1.0778,                0.47151,                0.88573,                0.45194,                0.29381,                0.28769,                0.18699,                0.44689,                0.29028,                0.28052,                0.17333,                 1.4385,                  3.281,                 2.4271,                 1.3447,             0.00038994,             0.00038994,             0.00038994
                    141,                0.63349,                 1.1095,                0.47642,                0.87913,                0.47409,                0.32144,                0.27163,                0.18278,                0.46072,                0.31648,                0.26513,                0.17102,                 1.4579,                  3.368,                 2.5551,                 1.3499,             0.00038375,             0.00038375,             0.00038375
                    142,                0.63754,                 1.0648,                0.47177,                0.88467,                0.38608,                0.30851,                0.27042,                0.18293,                0.37457,                0.30266,                0.26368,                0.16745,                 1.4558,                 3.3121,                 2.4901,                 1.3353,             0.00037756,             0.00037756,             0.00037756
                    143,                0.63164,                 1.0878,                0.47998,                0.87654,                0.38478,                 0.3492,                0.27812,                0.18852,                0.39027,                0.33621,                0.27504,                0.17369,                 1.4457,                 3.3599,                 2.4991,                 1.3561,             0.00037138,             0.00037138,             0.00037138
                    144,                0.63537,                 1.0872,                0.46062,                0.88447,                0.33617,                0.36426,                0.27674,                0.18632,                0.33228,                0.35978,                0.27339,                0.17483,                 1.4418,                  3.341,                 2.5318,                 1.3603,             0.00036519,             0.00036519,             0.00036519
                    145,                0.63919,                 1.0949,                0.47101,                0.88195,                0.41073,                0.31617,                0.27682,                0.18419,                 0.3776,                0.31538,                0.26583,                0.17029,                 1.4447,                 3.4423,                 2.5198,                 1.3503,               0.000359,               0.000359,               0.000359
                    146,                0.62677,                 1.0722,                0.46237,                0.87612,                0.44809,                0.28451,                0.27465,                0.18482,                0.44244,                0.27905,                0.27201,                0.16975,                 1.4712,                 3.3799,                 2.5814,                 1.3755,             0.00035281,             0.00035281,             0.00035281
                    147,                0.62761,                 1.0789,                0.46723,                0.88118,                0.43004,                0.30794,                0.26507,                0.17978,                0.41937,                0.30132,                0.26293,                 0.1661,                 1.4344,                 3.3109,                 2.5062,                 1.3537,             0.00034663,             0.00034663,             0.00034663
                    148,                0.63042,                 1.0542,                0.47248,                 0.8811,                0.40506,                0.31656,                0.27159,                0.18299,                0.39737,                0.31207,                0.26503,                0.16322,                   1.44,                  3.387,                 2.5022,                  1.364,             0.00034044,             0.00034044,             0.00034044
                    149,                0.63084,                 1.0947,                 0.4722,                0.87946,                0.39428,                 0.3091,                0.26468,                 0.1765,                0.37005,                0.29405,                0.25285,                0.16042,                 1.4414,                 3.3354,                 2.5786,                 1.3497,             0.00033425,             0.00033425,             0.00033425
                    150,                0.63171,                 1.0733,                0.46493,                 0.8793,                0.37098,                0.33337,                0.26204,                0.17059,                0.35868,                0.31539,                0.25102,                0.15783,                 1.4389,                 3.3255,                 2.4805,                 1.3359,             0.00032806,             0.00032806,             0.00032806
                    151,                0.63145,                 1.0866,                0.47543,                0.88346,                0.36279,                0.30436,                0.26818,                0.17936,                0.28445,                 0.3669,                0.25743,                0.16367,                 1.4267,                 3.4059,                 2.5378,                 1.3156,             0.00032188,             0.00032188,             0.00032188
                    152,                0.63878,                 1.0769,                0.48902,                0.88697,                0.41272,                0.32229,                0.27758,                0.18795,                0.40231,                0.31495,                0.27076,                0.17365,                 1.4309,                 3.4318,                 2.4525,                 1.3277,             0.00031569,             0.00031569,             0.00031569
                    153,                0.62845,                 1.0966,                0.47645,                0.88174,                 0.3995,                0.33077,                0.28111,                0.18554,                0.39425,                0.32765,                0.27217,                0.17164,                  1.433,                 3.3028,                 2.5036,                 1.3327,              0.0003095,              0.0003095,              0.0003095
                    154,                0.62206,                 1.0568,                0.46159,                0.88391,                0.39444,                0.31622,                0.28184,                0.18997,                0.38601,                0.31078,                0.27457,                0.17286,                 1.4391,                 3.3544,                 2.4927,                 1.3268,             0.00030331,             0.00030331,             0.00030331
                    155,                0.62268,                 1.0698,                 0.4629,                0.87312,                0.39086,                0.32756,                0.27066,                0.17926,                0.37497,                0.31985,                0.26451,                0.16823,                 1.4106,                 3.3198,                 2.4804,                 1.3289,             0.00029713,             0.00029713,             0.00029713
                    156,                0.63302,                  1.063,                0.47328,                0.88436,                0.43217,                0.32124,                0.28874,                0.19264,                0.44003,                0.31104,                0.27997,                0.17976,                  1.417,                 3.3485,                 2.4339,                 1.3196,             0.00029094,             0.00029094,             0.00029094
                    157,                0.62152,                 1.0545,                0.47109,                 0.8828,                0.41187,                 0.3168,                0.28771,                 0.1937,                0.35501,                0.35112,                0.27864,                0.18012,                 1.4108,                 3.3615,                 2.4395,                 1.3171,             0.00028475,             0.00028475,             0.00028475
                    158,                0.63325,                  1.097,                0.46994,                0.88666,                0.37396,                0.31834,                0.26592,                0.17572,                0.35234,                0.30371,                0.25514,                 0.1631,                 1.4319,                 3.3603,                 2.5193,                 1.3277,             0.00027856,             0.00027856,             0.00027856
                    159,                0.60454,                 1.0489,                0.46457,                0.87508,                0.39367,                0.30171,                0.26683,                0.17573,                0.37358,                0.29699,                0.26008,                0.15879,                 1.4542,                  3.346,                 2.5621,                 1.3363,             0.00027237,             0.00027237,             0.00027237
                    160,                0.60771,                 1.0661,                0.44398,                0.87252,                0.39919,                0.32148,                0.27286,                0.17815,                0.37327,                0.30597,                0.26104,                0.16308,                 1.4612,                 3.3164,                 2.5235,                 1.3561,             0.00026619,             0.00026619,             0.00026619
                    161,                0.61728,                 1.0749,                0.45855,                0.88647,                0.38279,                 0.3268,                0.27186,                0.17977,                0.38576,                0.32095,                0.26194,                0.16596,                 1.4557,                 3.2632,                 2.5413,                 1.3627,                0.00026,                0.00026,                0.00026
                    162,                0.63734,                 1.0903,                 0.4685,                0.87584,                0.41338,                0.32412,                0.27762,                0.18809,                0.39391,                 0.3151,                0.26893,                0.16987,                 1.4471,                 3.3182,                 2.5243,                 1.3412,             0.00025381,             0.00025381,             0.00025381
                    163,                 0.6126,                 1.0512,                0.45261,                0.88034,                0.43221,                0.30539,                0.27741,                0.18555,                0.40909,                0.29717,                 0.2689,                0.16991,                 1.4435,                 3.4032,                 2.5548,                 1.3499,             0.00024762,             0.00024762,             0.00024762
                    164,                 0.6268,                 1.0574,                0.45092,                0.88104,                0.43521,                0.30865,                0.28195,                0.18774,                0.41446,                0.30043,                0.27529,                0.17328,                 1.4669,                 3.3573,                 2.5561,                 1.3607,             0.00024144,             0.00024144,             0.00024144
                    165,                0.59172,                 1.0457,                0.43746,                0.87209,                 0.5101,                0.28432,                 0.2819,                0.18915,                 0.4828,                0.27542,                0.26994,                0.17326,                 1.4458,                 3.3523,                 2.5683,                 1.3437,             0.00023525,             0.00023525,             0.00023525
                    166,                 0.6154,                  1.052,                0.46657,                0.88155,                0.48325,                0.29622,                0.29291,                0.19573,                0.45698,                0.28663,                0.27832,                0.17863,                 1.4436,                 3.3747,                 2.5145,                 1.3439,             0.00022906,             0.00022906,             0.00022906
                    167,                0.62236,                 1.0871,                0.46535,                0.88083,                0.49098,                0.27653,                0.27813,                0.18344,                0.46132,                0.26558,                0.26506,                0.16503,                 1.4473,                 3.4052,                 2.5317,                 1.3439,             0.00022288,             0.00022288,             0.00022288
                    168,                0.60535,                 1.0421,                0.44097,                0.87781,                0.46068,                0.28605,                0.27705,                0.18247,                 0.4344,                0.27661,                 0.2619,                0.16325,                 1.4578,                 3.3486,                 2.5459,                 1.3466,             0.00021669,             0.00021669,             0.00021669
                    169,                0.59126,                 1.0464,                0.43718,                0.87405,                0.37712,                0.34427,                0.28062,                0.18742,                0.36131,                0.33645,                0.27412,                0.17094,                 1.4531,                 3.3268,                 2.5675,                 1.3569,              0.0002105,              0.0002105,              0.0002105
                    170,                0.61112,                 1.0296,                0.44657,                0.87653,                0.50352,                 0.2874,                0.29579,                0.19873,                0.48297,                 0.2798,                0.28498,                0.17877,                 1.4365,                 3.3118,                 2.5553,                 1.3346,             0.00020431,             0.00020431,             0.00020431
                    171,                0.61255,                  1.052,                0.44074,                0.88091,                0.44265,                0.31957,                0.29184,                0.19267,                0.41426,                0.30725,                0.27908,                 0.1752,                 1.4219,                 3.3354,                 2.5048,                 1.3267,             0.00019813,             0.00019813,             0.00019813
                    172,                  0.596,                 1.0151,                0.44011,                0.87042,                0.44983,                0.31415,                0.29327,                0.19067,                0.42243,                 0.3025,                0.27908,                0.17322,                 1.4139,                 3.3275,                 2.5173,                 1.3318,             0.00019194,             0.00019194,             0.00019194
                    173,                0.59223,                  1.005,                0.43346,                0.86773,                0.40666,                0.32684,                0.28876,                  0.191,                0.38707,                0.31551,                0.27729,                0.17547,                 1.4363,                 3.3806,                 2.5471,                 1.3464,             0.00018575,             0.00018575,             0.00018575
                    174,                0.60755,                  1.059,                0.44031,                 0.8771,                0.47055,                0.29717,                0.28718,                0.19001,                0.48945,                0.27924,                0.27752,                0.17552,                 1.4457,                 3.4249,                 2.5818,                 1.3389,             0.00017956,             0.00017956,             0.00017956
                    175,                0.61308,                 1.0467,                0.45752,                 0.8745,                0.39591,                0.32252,                0.27874,                0.18656,                 0.4488,                0.28309,                0.27145,                0.16915,                 1.4395,                  3.313,                 2.5716,                 1.3313,             0.00017338,             0.00017338,             0.00017338
                    176,                0.60774,                 1.0579,                0.45303,                0.87106,                0.38641,                0.33648,                 0.2749,                0.17947,                0.37098,                0.32826,                0.26703,                0.16676,                 1.4422,                 3.3078,                 2.5782,                 1.3411,             0.00016719,             0.00016719,             0.00016719
                    177,                0.58407,                 1.0533,                0.42929,                0.87253,                0.39417,                0.33466,                0.26937,                0.17622,                0.37784,                0.33007,                0.26036,                0.16084,                 1.4366,                 3.2953,                 2.6077,                  1.335,               0.000161,               0.000161,               0.000161
                    178,                0.58503,                 1.0154,                0.42391,                0.87645,                0.45098,                0.30692,                0.27635,                0.18414,                0.46242,                 0.2879,                 0.2659,                 0.1696,                  1.444,                 3.3389,                 2.5499,                 1.3385,             0.00015481,             0.00015481,             0.00015481
                    179,                0.59085,                 1.0104,                 0.4338,                0.86979,                0.43682,                 0.3268,                0.27825,                0.18675,                0.41746,                0.31994,                0.27249,                 0.1704,                 1.4397,                 3.3307,                 2.5276,                 1.3349,             0.00014862,             0.00014862,             0.00014862
                    180,                0.60999,                 1.0431,                0.45705,                0.87409,                0.44646,                0.30876,                0.28183,                0.18455,                0.42682,                0.30108,                0.27183,                0.17176,                 1.4519,                 3.2955,                 2.5156,                 1.3631,             0.00014244,             0.00014244,             0.00014244
                    181,                0.59264,                  1.029,                 0.4278,                0.87285,                0.43718,                0.30642,                0.27729,                0.18438,                0.41709,                0.29896,                0.26728,                0.16937,                 1.4522,                 3.2895,                 2.5432,                 1.3591,             0.00013625,             0.00013625,             0.00013625
                    182,                0.58274,                 1.0192,                0.42935,                0.87014,                0.45376,                0.30758,                0.28321,                0.18952,                 0.4313,                0.29935,                0.27821,                0.17592,                 1.4512,                 3.3288,                 2.5094,                  1.353,             0.00013006,             0.00013006,             0.00013006
                    183,                0.59122,                 1.0255,                0.44007,                0.86834,                0.46416,                  0.293,                0.28373,                0.18871,                0.51998,                0.26159,                0.27724,                0.17445,                 1.4421,                 3.3616,                 2.5072,                 1.3387,             0.00012387,             0.00012387,             0.00012387
                    184,                0.59335,                 1.0269,                0.43793,                0.86744,                0.41547,                0.31706,                 0.2735,                0.18279,                0.39241,                0.30804,                0.26455,                0.16686,                 1.4409,                 3.3738,                 2.5574,                 1.3383,             0.00011769,             0.00011769,             0.00011769
                    185,                0.59875,                 1.0226,                0.44656,                0.87345,                0.41854,                0.31683,                0.27517,                0.18308,                0.39712,                  0.306,                0.26438,                0.16711,                 1.4487,                 3.3489,                 2.5644,                  1.352,              0.0001115,              0.0001115,              0.0001115
                    186,                0.60056,                 1.0432,                0.43309,                0.87504,                0.43946,                0.31373,                0.27746,                0.18178,                0.41811,                 0.3042,                0.26869,                0.16719,                 1.4444,                 3.3525,                 2.5324,                  1.347,             0.00010531,             0.00010531,             0.00010531
                    187,                0.58685,                 1.0223,                0.42927,                0.87195,                  0.421,                0.31745,                0.27794,                0.18176,                0.40028,                0.30682,                0.27028,                0.16715,                 1.4445,                 3.3264,                 2.5291,                 1.3491,             9.9125e-05,             9.9125e-05,             9.9125e-05
                    188,                0.60183,                 1.0133,                0.43999,                 0.8783,                 0.4709,                0.30743,                 0.2799,                0.18536,                0.44765,                0.29921,                0.27774,                0.17276,                 1.4401,                 3.3203,                 2.5302,                 1.3572,             9.2937e-05,             9.2937e-05,             9.2937e-05
                    189,                0.58863,                 1.0186,                0.43918,                0.87496,                0.50005,                0.28881,                0.27528,                0.18352,                0.49488,                0.27922,                0.27386,                0.17048,                 1.4382,                 3.3536,                 2.5546,                 1.3542,              8.675e-05,              8.675e-05,              8.675e-05
                    190,                0.59446,                  1.021,                0.42887,                0.87584,                0.49775,                0.28033,                0.26864,                 0.1784,                0.42741,                 0.2956,                0.26654,                0.16541,                 1.4397,                 3.3482,                 2.5839,                 1.3498,             8.0563e-05,             8.0563e-05,             8.0563e-05
                    191,                 0.5553,                 1.0104,                0.38842,                0.84836,                0.47374,                0.29285,                0.28035,                0.18614,                0.45112,                0.28326,                0.27421,                0.16802,                 1.4238,                 3.4086,                 2.5283,                 1.3313,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    192,                0.52395,                0.94293,                0.36334,                0.83097,                0.45546,                 0.3161,                0.27725,                0.18507,                0.42808,                0.30826,                0.27214,                0.16826,                 1.4313,                 3.3977,                 2.5842,                 1.3442,             6.8188e-05,             6.8188e-05,             6.8188e-05
                    193,                0.54126,                0.97221,                0.37187,                 0.8434,                0.44655,                0.30172,                0.27107,                0.18235,                0.40405,                0.31783,                0.26777,                0.16691,                  1.424,                 3.4275,                  2.596,                 1.3414,                6.2e-05,                6.2e-05,                6.2e-05
                    194,                  0.532,                0.95747,                0.35315,                0.83872,                   0.41,                0.31326,                0.26886,                0.18065,                0.40049,                 0.3074,                0.26493,                0.16359,                 1.4286,                 3.4252,                 2.5943,                 1.3513,             5.5813e-05,             5.5813e-05,             5.5813e-05
                    195,                0.53138,                0.97562,                0.35087,                0.83685,                0.47005,                0.29926,                0.27352,                0.18391,                0.45866,                0.29341,                0.27024,                0.16645,                 1.4278,                 3.4318,                 2.5825,                 1.3466,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    196,                0.53564,                 0.9649,                 0.3568,                0.84039,                0.43695,                0.30431,                 0.2742,                 0.1844,                0.42481,                0.29846,                0.27132,                0.16732,                 1.4294,                 3.3979,                 2.5883,                 1.3458,             4.3438e-05,             4.3438e-05,             4.3438e-05
                    197,                0.53355,                0.96691,                0.36157,                0.83522,                0.44781,                0.30799,                0.27355,                0.18261,                0.43885,                0.30351,                0.26996,                0.16733,                 1.4232,                 3.3864,                 2.5836,                 1.3374,              3.725e-05,              3.725e-05,              3.725e-05
                    198,                0.51621,                0.95848,                0.34557,                0.83252,                0.42846,                0.30841,                0.27231,                0.18236,                0.41939,                0.30393,                0.26676,                0.16693,                 1.4264,                 3.4091,                 2.5879,                 1.3406,             3.1063e-05,             3.1063e-05,             3.1063e-05
                    199,                0.51779,                0.96153,                0.35167,                0.83517,                0.39643,                0.32341,                0.27343,                0.18388,                0.39371,                0.31436,                0.26615,                0.16688,                 1.4227,                 3.4045,                 2.5902,                 1.3389,             2.4875e-05,             2.4875e-05,             2.4875e-05
                    200,                0.52058,                0.97231,                0.35228,                 0.8355,                0.39735,                0.31052,                0.27173,                0.18334,                0.37987,                0.32219,                0.26931,                0.16874,                 1.4297,                 3.4108,                 2.5849,                 1.3422,             1.8688e-05,             1.8688e-05,             1.8688e-05
